Sep 04 - 00:53:32,Town Deposit,[Resident] Googl,300.0,[Town] New_YeezyTOwn
Sep 04 - 00:53:37,Town Deposit,[Resident] skibidi_rizz,100.0,[Town] New_YeezyTOwn
